Activity,Case ID,Country,Cost,Event end,Team,User,Event ID
Send settlement instructions to clearing agent,125926,UK,495.79072,16-3-2016 11:40:12,Other,Oscar Medina,265
Send settlement instructions to clearing agent,125949,Austria,65.02498616,3/2/2016 12:56,Other,Alfreda Harrell,266
Close outstanding settlement instructions and contractual journal,126030,UK,584.7158635,9/2/2016 17:51,Finance,Medge Patel,267
Send settlement instructions to clearing agent,126093,Germany,21.3761783,9/2/2016 10:38,Auto-processor,System,268
Receive status update from clearing agent,126134,Germany,169.6042799,22-2-2016 12:48:39,Auto-processor,System,269
Close outstanding settlement instructions and contractual journal,126301,UK,278.889203,4/2/2016 13:41,Finance,Medge Patel,270
Place hold for authorization,126399,Netherlands,741.8568965,15-2-2016 09:25:40,Controlling,Fiona Luna,271
Receive status update from clearing agent,126419,Austria,353.7326031,23-2-2016 08:20:27,Financial approval,Daphne Gordon,272
Create settlement instructions,126478,Germany,842.8039063,4/2/2016 10:47,Controlling,Macy Hurst,273
Close outstanding settlement instructions and contractual journal,126481,Germany,98.12289413,29-2-2016 15:43:42,Controlling,Macy Hurst,274
Receive status update from clearing agent,126509,Germany,824.9854371,3/3/2016 17:06,Line management,Eden Morrow,275
Place hold for authorization,126532,Germany,408.1970206,4/2/2016 14:46,Controlling,Macy Hurst,276
Receive status update from clearing agent,126575,Germany,350.5059773,10/2/2016 9:21,Auto-processor,System,277
Receive status update from clearing agent,126614,Austria,342.3417844,10/2/2016 17:02,Other,Nissim Combs,278
Create settlement instructions,126642,UK,79.6413197,9/2/2016 9:15,Finance,Medge Patel,279
Create settlement instructions,126753,US,471.6494387,9/2/2016 15:00,Controlling,Gary Le,280
Receive status update from clearing agent,126846,Austria,957.3109136,11/2/2016 15:44,Other,Nissim Combs,281
Receive status update from clearing agent,126848,Austria,963.8595207,11/2/2016 16:10,Other,Nissim Combs,282
Place hold for authorization,126886,Netherlands,355.4633198,18-2-2016 13:45:27,Controlling,Fiona Luna,283
Receive status update from clearing agent,126956,Netherlands,730.7020562,17-2-2016 09:43:36,Other,Upton Mosley,284
Receive status update from clearing agent,127020,Austria,170.464299,23-2-2016 09:22:56,Other,Kaye Morrow,285
Receive status update from clearing agent,127022,Austria,519.8805466,26-2-2016 09:35:06,Other,Micah Berger,286
Create settlement instructions,127165,France,10.16982479,16-2-2016 11:45:59,Administration,Aaron Downs,287
Receive status update from clearing agent,127242,Germany,989.8346267,22-2-2016 17:30:20,Line management,Kiona Sanchez,288
Create settlement instructions,127350,UK,958.313412,17-2-2016 16:30:30,Finance,Medge Patel,289
Place hold for authorization,127466,Germany,491.5002421,10/3/2016 16:51,Controlling,Macy Hurst,290
Cancel transaction,127693,Germany,656.152548,24-2-2016 07:06:00,Line management,Jamal Clarke,291
Send settlement instructions to clearing agent,127781,Netherlands,356.1585222,25-2-2016 10:07:12,Purchasing,Alden Baxter,292
Send settlement instructions to clearing agent,127852,Netherlands,128.286102,26-2-2016 11:48:53,Purchasing,Alden Baxter,293
Receive status update from clearing agent,127889,US,736.4075111,10/3/2016 10:12,Other,Urielle Schultz,294
Create settlement instructions,127994,France,557.3335497,29-2-2016 12:15:21,Administration,Hunter Garcia,295
Receive status update from clearing agent,128056,Germany,516.4213604,10/3/2016 8:55,Line management,Griffin Donaldson,296
Close outstanding settlement instructions and contractual journal,128061,France,618.7670643,21-3-2016 08:19:59,Finance,Lars Walker,297
Close outstanding settlement instructions and contractual journal,128130,UK,616.4682757,4/3/2016 16:34,Controlling,Alan Boyer,298
Receive status update from clearing agent,128201,US,102.9947317,9/3/2016 16:34,Financial approval,Naida Ortiz,299
Send settlement instructions to clearing agent,128221,Netherlands,927.2480808,10/3/2016 12:40,Other,Briar Wells,300
Create settlement instructions,128259,France,795.5604031,3/3/2016 15:15,Administration,Hunter Garcia,301
Receive status update from clearing agent,128351,Germany,571.2362021,7/3/2016 10:14,Line management,Griffin Donaldson,302
Send settlement instructions to clearing agent,128377,Netherlands,772.3629312,7/3/2016 9:20,Other,Haviva Hernandez,303
Send settlement instructions to clearing agent,128415,Austria,630.1468784,9/3/2016 8:03,Other,Carolyn Mullins,304
Receive status update from clearing agent,128463,Austria,652.7559407,18-3-2016 10:48:40,Financial approval,Daphne Gordon,305
Place hold for authorization,128468,UK,139.2611074,14-3-2016 16:35:08,Controlling,Alan Boyer,306
Receive status update from clearing agent,128493,Germany,837.5736058,18-3-2016 14:12:52,Line management,Eden Morrow,307
Receive authorization and remove hold,128512,Germany,592.8996847,8/3/2016 10:06,Controlling,Macy Hurst,308
Receive status update from clearing agent,128540,Switzerland,719.6153235,16-3-2016 17:11:18,Financial approval,Blythe Carpenter,309
Close outstanding settlement instructions and contractual journal,128554,Germany,565.4239981,23-3-2016 16:54:03,Controlling,Macy Hurst,310
Receive status update from clearing agent,128574,Austria,880.2867822,24-3-2016 12:53:17,Other,McKenzie Wells,311
Receive status update from clearing agent,128629,Austria,194.1915849,24-3-2016 16:39:47,Other,McKenzie Wells,312
Receive status update from clearing agent,128720,Germany,222.3767041,8/3/2016 8:52,Other,Hashim Salinas,313
Send settlement instructions to clearing agent,128814,Switzerland,577.5916586,18-3-2016 10:58:38,Other,Caesar Donaldson,314
Create settlement instructions,128872,UK,399.537967,15-3-2016 08:06:27,Finance,Rebecca Love,315
Close outstanding settlement instructions and contractual journal,128934,UK,471.4644994,15-3-2016 17:56:38,Finance,Dennis Robertson,316
Receive status update from clearing agent,128984,Austria,221.7426533,11/3/2016 14:51,Other,Natalie Bowen,317
Receive status update from clearing agent,129000,France,377.7976987,11/3/2016 16:46,Other,Keith Perez,318
Close outstanding settlement instructions and contractual journal,129003,UK,992.0582844,15-3-2016 13:50:17,Finance,Rebecca Love,319
Receive status update from clearing agent,129151,Austria,417.5508805,30-3-2016 12:42:02,Other,Kaye Morrow,320
Receive status update from clearing agent,129164,Germany,504.9651679,30-3-2016 09:38:10,Line management,Kiona Sanchez,321
Close outstanding settlement instructions and contractual journal,129174,Germany,99.52241243,24-3-2016 10:09:31,Controlling,Cruz Abbott,322
Receive status update from clearing agent,129248,UK,821.4976776,11/4/2016 14:06,Other,Nathan Lewis,323
Close outstanding settlement instructions and contractual journal,129265,UK,84.43770117,16-3-2016 11:42:39,Finance,Dennis Robertson,324
Send settlement instructions to clearing agent,129292,Austria,156.2956136,16-3-2016 13:09:44,Other,Mikayla Fields,325
Receive status update from clearing agent,129310,UK,609.7196863,24-3-2016 14:46:20,Financial approval,Lunea Fitzgerald,326
Create settlement instructions,129332,France,434.981771,15-3-2016 15:30:09,Administration,Aaron Downs,327
Close outstanding settlement instructions and contractual journal,129356,UK,489.9524427,5/4/2016 12:01,Controlling,Alan Boyer,328
Send settlement instructions to clearing agent,129418,Netherlands,297.2525313,18-3-2016 11:35:13,Purchasing,Alden Baxter,329
Send settlement instructions to clearing agent,129528,Germany,396.7415891,5/4/2016 18:01,Auto-processor,System,330
Send settlement instructions to clearing agent,129613,UK,246.1122672,21-3-2016 14:40:15,Other,Nathan Lewis,331
Receive status update from clearing agent,129649,Austria,93.4116887,30-3-2016 14:12:27,Financial approval,Daphne Gordon,332
Receive status update from clearing agent,129678,Switzerland,131.9065897,1/4/2016 8:21,Financial approval,Blythe Carpenter,333
Send settlement instructions to clearing agent,129789,US,341.9647114,29-3-2016 18:22:54,Other,Ashely Sutton,334
Send settlement instructions to clearing agent,129972,UK,355.7612902,30-3-2016 09:20:48,Other,Phelan Quinn,335
Create settlement instructions,130060,UK,411.7044215,29-3-2016 15:15:16,Finance,Medge Patel,336
Send settlement instructions to clearing agent,130109,Germany,788.4618919,1/4/2016 10:53,Other,Nathaniel Russell,337
Send settlement instructions to clearing agent,130127,Austria,151.9013268,19-4-2016 07:07:34,Other,Kaye Morrow,338
Send settlement instructions to clearing agent,130214,Switzerland,571.7052725,31-3-2016 12:21:55,Purchasing,Gil Bush,339
Create settlement instructions,130260,France,465.6650822,31-3-2016 18:14:20,Finance,Lars Walker,340
Place hold for authorization,130289,US,335.7520421,1/4/2016 15:13,Controlling,Knox Gonzalez,341
Close outstanding settlement instructions and contractual journal,130340,France,717.8391531,5/4/2016 13:55,Administration,Hunter Garcia,342
Close outstanding settlement instructions and contractual journal,130567,UK,700.6808855,13-4-2016 08:36:59,Finance,Medge Patel,343
Receive status update from clearing agent,130621,Austria,187.526665,6/4/2016 18:20,Financial approval,Daphne Gordon,344
Send settlement instructions to clearing agent,130670,Netherlands,572.5928303,6/4/2016 16:06,Other,Giacomo Noel,345
Receive status update from clearing agent,130721,Austria,788.4304395,7/4/2016 9:07,Financial approval,Daphne Gordon,346
Send settlement instructions to clearing agent,130755,Netherlands,870.4234973,5/4/2016 17:56,Other,Bell Blevins,347
Close outstanding settlement instructions and contractual journal,130833,UK,464.8516451,8/4/2016 17:43,Finance,Medge Patel,348
Create settlement instructions,130904,UK,157.0910237,6/4/2016 14:15,Finance,Medge Patel,349
Send settlement instructions to clearing agent,131000,Germany,741.4833697,8/4/2016 8:42,Auto-processor,System,350
Send settlement instructions to clearing agent,131034,Germany,194.3420643,13-4-2016 18:17:52,Auto-processor,System,351
Send settlement instructions to clearing agent,131083,Switzerland,651.3799857,11/4/2016 14:15,Other,Jael Small,352
Close outstanding settlement instructions and contractual journal,131186,France,751.02746,12/4/2016 13:00,Administration,Hunter Garcia,353
Receive status update from clearing agent,131264,Austria,32.79509946,2/5/2016 16:04,Financial approval,Daphne Gordon,354
Place hold for authorization,131276,UK,899.879487,15-4-2016 14:37:23,Controlling,Alan Boyer,355
Send settlement instructions to clearing agent,131477,Netherlands,49.67934679,15-4-2016 08:38:06,Other,Yolanda Mcneil,356
Cancel transaction,131493,Germany,648.6200308,14-4-2016 14:36:08,Line management,Autumn Higgins,357
Cancel trade or amend upstream and repeat settlement process,131523,UK,940.646386,18-4-2016 10:37:41,Finance,Dennis Robertson,358
Send settlement instructions to clearing agent,131545,Austria,990.4798306,2/5/2016 16:24,Purchasing,John Tanner,359
Send settlement instructions to clearing agent,131563,UK,74.1532809,20-4-2016 16:15:33,Purchasing,Shoshana Malone,360
Receive status update from clearing agent,131670,UK,1000.996136,27-4-2016 16:51:50,Other,Kay Farley,361
Close outstanding settlement instructions and contractual journal,131671,Germany,555.9677992,6/5/2016 12:04,Controlling,Cruz Abbott,362
Receive status update from clearing agent,131743,Germany,482.7207152,3/5/2016 14:22,Line management,Eden Morrow,363
Close outstanding settlement instructions and contractual journal,131823,UK,406.7976712,25-4-2016 09:41:11,Finance,Medge Patel,364
Receive status update from clearing agent,131980,Austria,248.5668816,25-4-2016 07:06:22,Other,Kaye Morrow,365
Send settlement instructions to clearing agent,132114,Germany,708.8247556,3/5/2016 15:36,Auto-processor,System,366
Send settlement instructions to clearing agent,132274,Netherlands,284.7411292,28-4-2016 11:45:57,Purchasing,Myra Valentine,367
Close outstanding settlement instructions and contractual journal,132373,UK,423.3731193,6/5/2016 9:08,Controlling,Alan Boyer,368
Receive status update from clearing agent,132445,Austria,369.6125163,2/5/2016 14:36,Other,Nissim Combs,369
Receive status update from clearing agent,132469,Germany,893.6245548,5/5/2016 14:53,Line management,Kiona Sanchez,370
Receive status update from clearing agent,132510,US,56.17669068,2/5/2016 14:48,Financial approval,Xerxes Espinoza,371
Close outstanding settlement instructions and contractual journal,132521,UK,196.3474181,3/5/2016 10:33,Finance,Dennis Robertson,372
Send settlement instructions to clearing agent,132571,Netherlands,536.1156979,6/5/2016 14:57,Other,Emmanuel Durham,373
Receive status update from clearing agent,132607,Germany,141.1486079,9/5/2016 15:57,Line management,Eden Morrow,374
Receive status update from clearing agent,132750,Netherlands,516.262458,5/5/2016 10:59,Other,Cadman Brown,375
Cancel transaction,132796,Germany,65.83303319,5/5/2016 7:38,Line management,Autumn Higgins,376
Receive status update from clearing agent,132850,Germany,838.0245755,6/5/2016 8:33,Line management,Eden Morrow,377
Receive status update from clearing agent,132874,Austria,37.0799945,5/5/2016 14:30,Other,Kaye Morrow,378
Receive status update from clearing agent,132883,Austria,172.3753629,9/5/2016 12:19,Other,Celeste Sharp,379
Close outstanding settlement instructions and contractual journal,132925,Germany,159.3090889,10/5/2016 11:33,Controlling,Macy Hurst,380
Close outstanding settlement instructions and contractual journal,132941,Germany,691.5499851,16-5-2016 18:43:24,Controlling,Cruz Abbott,381
Receive status update from clearing agent,133014,Austria,763.2506208,10/5/2016 14:38,Financial approval,Daphne Gordon,382
Cancel transaction,133112,Germany,432.4489892,5/5/2016 10:50,Line management,Jamal Clarke,383
Close outstanding settlement instructions and contractual journal,133137,UK,426.6169651,9/5/2016 13:48,Finance,Medge Patel,384
Receive status update from clearing agent,133147,Switzerland,832.1028332,9/5/2016 12:03,Other,Dalton Giles,385
Close outstanding settlement instructions and contractual journal,133174,UK,376.7172079,9/5/2016 13:58,Finance,Rebecca Love,386
Create settlement instructions,133297,France,129.1340187,5/5/2016 16:00,Administration,Hunter Garcia,387
Receive status update from clearing agent,133398,Netherlands,286.7336706,9/5/2016 12:50,Other,Upton Mosley,388
Close outstanding settlement instructions and contractual journal,133431,UK,285.9201316,12/5/2016 12:56,Finance,Dennis Robertson,389
Receive status update from clearing agent,133478,Austria,721.1636544,10/5/2016 14:05,Other,Sophia Stein,390
Send settlement instructions to clearing agent,133549,Switzerland,82.05924282,10/5/2016 14:20,Purchasing,Aladdin Middleton,391
Close outstanding settlement instructions and contractual journal,133644,US,786.1913184,3/6/2016 18:20,Controlling,Gary Le,392
Receive status update from clearing agent,133694,Germany,393.7828031,10/5/2016 15:17,Line management,Griffin Donaldson,393
Close outstanding settlement instructions and contractual journal,133734,US,69.27423909,3/6/2016 16:40,Controlling,Gary Le,394
Create settlement instructions,133851,France,30.15524468,13-5-2016 11:00:21,Finance,Lars Walker,395
Send settlement instructions to clearing agent,133881,US,126.8798194,16-5-2016 13:43:32,Purchasing,Summer Holcomb,396
Receive status update from clearing agent,133945,UK,420.5598498,31-5-2016 14:06:56,Other,Oscar Medina,397
Close outstanding settlement instructions and contractual journal,133993,UK,286.9052319,19-5-2016 18:25:51,Finance,Rebecca Love,398
Receive authorization and remove hold,134070,US,930.5698838,27-5-2016 15:49:55,Controlling,Gary Le,399
Receive status update from clearing agent,134238,Germany,298.6939077,20-5-2016 13:04:24,Other,Anthony Mcguire,400
Receive status update from clearing agent,134260,Austria,71.41647005,1/6/2016 15:53,Other,Morgan Whitfield,401
Send settlement instructions to clearing agent,134423,Switzerland,122.9647303,25-5-2016 12:44:17,Purchasing,Adria Franks,402
Receive status update from clearing agent,134538,Austria,984.631071,2/6/2016 17:25,Financial approval,Daphne Gordon,403
Close outstanding settlement instructions and contractual journal,134546,France,186.3380997,15-6-2016 07:33:11,Administration,Hunter Garcia,404
Create settlement instructions,134606,Germany,593.5717977,30-5-2016 10:30:12,Controlling,Macy Hurst,405
Close outstanding settlement instructions and contractual journal,134645,UK,362.4197648,31-5-2016 11:34:01,Finance,Medge Patel,406
Send settlement instructions to clearing agent,134775,Switzerland,481.0713873,6/6/2016 15:09,Purchasing,Justine Monroe,407
Create settlement instructions,134810,UK,166.7064503,1/6/2016 14:16,Finance,Medge Patel,408
Close outstanding settlement instructions and contractual journal,134828,UK,976.4519476,6/6/2016 11:23,Finance,Medge Patel,409
Receive status update from clearing agent,134900,Switzerland,100.3121677,13-6-2016 11:46:24,Other,Beverly Gonzales,410
Close outstanding settlement instructions and contractual journal,134923,UK,150.4021165,6/6/2016 12:19,Finance,Cullen Combs,411
Create settlement instructions,134947,UK,115.6723554,3/6/2016 11:30,Finance,Medge Patel,412
Receive status update from clearing agent,135092,Austria,368.3598007,10/6/2016 15:32,Financial approval,Daphne Gordon,413
Place hold for authorization,135119,Germany,670.3342388,6/6/2016 16:50,Controlling,Macy Hurst,414
Receive status update from clearing agent,135195,Austria,934.5508654,13-6-2016 12:00:55,Financial approval,Daphne Gordon,415
Close outstanding settlement instructions and contractual journal,135198,Germany,478.211843,23-6-2016 10:21:29,Controlling,Macy Hurst,416
Send settlement instructions to clearing agent,135216,Austria,572.3518277,13-6-2016 12:05:37,Other,Tatyana Howe,417
Receive status update from clearing agent,135228,Germany,966.9910061,14-6-2016 14:41:01,Other,Colorado Ferrell,418
Receive status update from clearing agent,135251,Germany,798.6195674,13-6-2016 07:04:02,Line management,Griffin Donaldson,419
Send settlement instructions to clearing agent,135270,UK,592.967015,7/6/2016 8:28,Other,Nathan Lewis,420
Send settlement instructions to clearing agent,135348,UK,222.481909,23-6-2016 17:48:07,Financial approval,Lunea Fitzgerald,421
Create settlement instructions,135459,UK,544.0773806,9/6/2016 12:15,Finance,Rebecca Love,422
Close outstanding settlement instructions and contractual journal,135566,UK,439.4813184,15-6-2016 17:12:50,Finance,Medge Patel,423
Close outstanding settlement instructions and contractual journal,135662,France,898.4935445,21-6-2016 12:43:04,Finance,Lars Walker,424
Place hold for authorization,135810,Germany,648.7122258,15-6-2016 15:12:28,Controlling,Macy Hurst,425
Receive status update from clearing agent,135915,US,1003.157922,17-6-2016 13:24:56,Financial approval,Naida Ortiz,426
Close outstanding settlement instructions and contractual journal,135976,UK,187.1385448,20-6-2016 13:19:02,Finance,Rebecca Love,427
Receive status update from clearing agent,136018,Austria,168.1595923,17-6-2016 10:15:59,Financial approval,Daphne Gordon,428
Send settlement instructions to clearing agent,136162,Netherlands,676.3549482,21-6-2016 12:05:47,Purchasing,Alden Baxter,429
Close outstanding settlement instructions and contractual journal,136217,UK,866.401544,22-6-2016 15:30:14,Finance,Medge Patel,430
Receive status update from clearing agent,110541,Germany,642.491736,29-8-2015 10:53:54,Line management,Kiona Sanchez,431
Place hold for authorization,111346,Netherlands,466.7081031,18-8-2015 10:01:59,Controlling,Fiona Luna,432
Close outstanding settlement instructions and contractual journal,111683,UK,819.5838931,26-8-2015 15:52:21,Finance,Medge Patel,433
Close outstanding settlement instructions and contractual journal,111755,UK,287.5238494,31-8-2015 11:20:55,Finance,Medge Patel,434
Close outstanding settlement instructions and contractual journal,111756,UK,768.5294312,26-8-2015 13:00:19,Finance,Medge Patel,435
Close outstanding settlement instructions and contractual journal,111757,UK,99.52297861,26-8-2015 15:51:29,Finance,Medge Patel,436
Close outstanding settlement instructions and contractual journal,112189,Netherlands,869.3715328,28-8-2015 15:25:15,Controlling,Fiona Luna,437
Close outstanding settlement instructions and contractual journal,112190,Netherlands,512.6280577,2/9/2015 10:00,Controlling,Fiona Luna,438
Close outstanding settlement instructions and contractual journal,112493,UK,582.7949201,2/9/2015 17:24,Finance,Medge Patel,439
Close outstanding settlement instructions and contractual journal,112494,UK,737.5272666,3/9/2015 11:57,Finance,Medge Patel,440
Receive status update from clearing agent,112601,Austria,337.669714,3/9/2015 15:37,Other,Nissim Combs,441
Receive status update from clearing agent,112730,Germany,203.4088285,7/9/2015 17:28,Line management,Kiona Sanchez,442
Place hold for authorization,113139,Netherlands,764.6626708,8/9/2015 9:27,Controlling,Fiona Luna,443
Receive status update from clearing agent,113215,Germany,5.990158815,15-9-2015 12:32:12,Line management,Eden Morrow,444
Receive status update from clearing agent,113847,Germany,926.6696452,15-9-2015 12:12:12,Line management,Eden Morrow,445
Close outstanding settlement instructions and contractual journal,114065,Netherlands,97.31041889,14-9-2015 09:56:39,Controlling,Fiona Luna,446
Close outstanding settlement instructions and contractual journal,114066,Netherlands,117.2476984,14-9-2015 09:56:28,Controlling,Fiona Luna,447
Close outstanding settlement instructions and contractual journal,114351,Netherlands,931.6246335,21-9-2015 18:54:12,Controlling,Fiona Luna,448
Close outstanding settlement instructions and contractual journal,114352,Netherlands,898.5069568,21-9-2015 18:54:59,Controlling,Fiona Luna,449
Close outstanding settlement instructions and contractual journal,114354,Netherlands,360.7195943,17-9-2015 16:46:29,Controlling,Fiona Luna,450
Close outstanding settlement instructions and contractual journal,107156,UK,782.6167163,6/7/2015 15:04,Finance,Medge Patel,451
Close outstanding settlement instructions and contractual journal,107157,UK,933.7869939,9/7/2015 17:18,Finance,Medge Patel,452
Close outstanding settlement instructions and contractual journal,107732,UK,79.35509104,8/7/2015 14:07,Finance,Medge Patel,453
Close outstanding settlement instructions and contractual journal,107733,UK,890.4294509,8/7/2015 14:07,Finance,Medge Patel,454
Close outstanding settlement instructions and contractual journal,107734,UK,286.2646144,8/7/2015 14:05,Finance,Medge Patel,455
Close outstanding settlement instructions and contractual journal,107735,UK,639.708854,8/7/2015 14:09,Finance,Medge Patel,456
Close outstanding settlement instructions and contractual journal,108523,UK,412.0573016,21-7-2015 16:54:43,Finance,Medge Patel,457
Close outstanding settlement instructions and contractual journal,108524,UK,378.985072,16-7-2015 15:58:50,Finance,Medge Patel,458
Receive status update from clearing agent,108583,Austria,579.2775727,20-7-2015 07:16:18,Other,Kaye Morrow,459
Close outstanding settlement instructions and contractual journal,109226,UK,260.9060287,24-7-2015 13:39:54,Finance,Medge Patel,460
Close outstanding settlement instructions and contractual journal,109433,UK,439.6432642,28-7-2015 12:03:37,Finance,Medge Patel,461
Close outstanding settlement instructions and contractual journal,109435,UK,209.0980186,27-7-2015 17:30:02,Finance,Medge Patel,462
Receive status update from clearing agent,109530,Austria,107.1538708,28-7-2015 13:37:51,Other,Kaye Morrow,463
Receive status update from clearing agent,110321,Austria,284.3302266,10/8/2015 7:38,Other,Emery Clark,464
Close outstanding settlement instructions and contractual journal,114929,Netherlands,764.425212,23-9-2015 17:53:02,Controlling,Fiona Luna,465
Close outstanding settlement instructions and contractual journal,115040,Netherlands,725.7324959,23-9-2015 10:32:28,Controlling,Fiona Luna,466
Close outstanding settlement instructions and contractual journal,115041,Netherlands,209.9493843,23-9-2015 10:35:03,Controlling,Fiona Luna,467
Close outstanding settlement instructions and contractual journal,115042,Netherlands,835.3903248,23-9-2015 10:31:17,Controlling,Fiona Luna,468
Close outstanding settlement instructions and contractual journal,115043,Netherlands,715.0181583,23-9-2015 15:18:27,Controlling,Fiona Luna,469
Close outstanding settlement instructions and contractual journal,115219,UK,315.237546,28-9-2015 15:25:26,Finance,Medge Patel,470
Close outstanding settlement instructions and contractual journal,115220,UK,377.1079494,2/10/2015 16:59,Finance,Medge Patel,471
Close outstanding settlement instructions and contractual journal,115222,UK,527.6261023,29-9-2015 17:28:48,Finance,Medge Patel,472
Close outstanding settlement instructions and contractual journal,115675,UK,498.9274639,8/10/2015 17:07,Finance,Medge Patel,473
Receive status update from clearing agent,115996,Germany,427.5146847,13-10-2015 08:10:52,Line management,Kiona Sanchez,474
Receive status update from clearing agent,116068,Germany,298.9790354,8/10/2015 15:19,Line management,Kiona Sanchez,475
Receive status update from clearing agent,116094,Germany,700.773116,8/10/2015 15:01,Line management,Kiona Sanchez,476
Close outstanding settlement instructions and contractual journal,116975,Netherlands,494.812271,22-10-2015 15:16:26,Controlling,Fiona Luna,477
Close outstanding settlement instructions and contractual journal,118296,UK,605.2211265,28-10-2015 12:46:36,Finance,Medge Patel,478
Close outstanding settlement instructions and contractual journal,118559,UK,97.19359716,5/11/2015 19:29,Finance,Medge Patel,479
Close outstanding settlement instructions and contractual journal,118560,UK,236.8361,5/11/2015 19:31,Finance,Medge Patel,480
Close outstanding settlement instructions and contractual journal,118561,UK,912.598949,19-11-2015 19:18:27,Finance,Medge Patel,481
Close outstanding settlement instructions and contractual journal,118562,UK,933.1933709,4/11/2015 12:52,Finance,Medge Patel,482
Close outstanding settlement instructions and contractual journal,118563,UK,950.0823716,13-11-2015 15:11:41,Finance,Medge Patel,483
Close outstanding settlement instructions and contractual journal,118564,UK,464.652568,13-11-2015 15:10:45,Finance,Medge Patel,484
Close outstanding settlement instructions and contractual journal,121879,Netherlands,33.67144901,4/3/2016 15:02,Controlling,Fiona Luna,485
Receive status update from clearing agent,122519,Austria,574.1458867,11/2/2016 14:44,Other,Nissim Combs,486
Receive status update from clearing agent,122595,Germany,492.9617352,8/1/2016 12:31,Line management,Eden Morrow,487
Place hold for authorization,122799,Netherlands,484.4377509,29-12-2015 08:07:55,Controlling,Fiona Luna,488
Close outstanding settlement instructions and contractual journal,122806,Netherlands,105.7663926,1/1/2016 16:52,Controlling,Fiona Luna,489
Close outstanding settlement instructions and contractual journal,122808,Netherlands,604.7015826,29-12-2015 17:09:37,Controlling,Fiona Luna,490
Receive status update from clearing agent,122957,Austria,1001.444312,1/1/2016 9:36,Other,Rowan Curry,491
Receive status update from clearing agent,123011,Germany,939.3984174,20-1-2016 10:37:10,Line management,Kiona Sanchez,492
Close outstanding settlement instructions and contractual journal,123246,Netherlands,949.5646939,4/1/2016 10:03,Controlling,Fiona Luna,493
Close outstanding settlement instructions and contractual journal,123247,Netherlands,137.0274861,18-1-2016 16:27:52,Controlling,Fiona Luna,494
Close outstanding settlement instructions and contractual journal,123248,Netherlands,322.0841617,18-1-2016 16:27:01,Controlling,Fiona Luna,495
Close outstanding settlement instructions and contractual journal,123249,Netherlands,163.9516431,18-1-2016 16:28:31,Controlling,Fiona Luna,496
Close outstanding settlement instructions and contractual journal,123525,Netherlands,230.0762914,12/1/2016 14:08,Controlling,Fiona Luna,497
Close outstanding settlement instructions and contractual journal,123526,Netherlands,849.7391671,12/1/2016 14:11,Controlling,Fiona Luna,498
Close outstanding settlement instructions and contractual journal,123527,Netherlands,753.9750092,11/1/2016 11:08,Controlling,Fiona Luna,499
Close outstanding settlement instructions and contractual journal,123528,Netherlands,666.3120149,12/1/2016 14:09,Controlling,Fiona Luna,500
Close outstanding settlement instructions and contractual journal,123529,Netherlands,859.0092168,12/1/2016 14:10,Controlling,Fiona Luna,501
Close outstanding settlement instructions and contractual journal,123530,Netherlands,300.6531588,18-1-2016 16:33:37,Controlling,Fiona Luna,502
Close outstanding settlement instructions and contractual journal,123531,Netherlands,969.7790444,18-1-2016 16:34:53,Controlling,Fiona Luna,503
Close outstanding settlement instructions and contractual journal,123532,Netherlands,215.8173326,18-1-2016 16:28:56,Controlling,Fiona Luna,504
Close outstanding settlement instructions and contractual journal,123533,Netherlands,27.955724,12/1/2016 14:10,Controlling,Fiona Luna,505
Receive status update from clearing agent,124146,Austria,149.5236034,10/2/2016 14:51,Financial approval,Daphne Gordon,506
Place hold for authorization,124163,Netherlands,95.44502161,12/1/2016 9:03,Controlling,Fiona Luna,507
Receive status update from clearing agent,126503,Austria,721.8794733,24-2-2016 18:51:58,Financial approval,Daphne Gordon,508
Receive status update from clearing agent,126793,Austria,277.274509,11/2/2016 16:11,Other,Celeste Sharp,509
Close outstanding settlement instructions and contractual journal,127793,UK,929.3333626,25-2-2016 16:31:19,Finance,Medge Patel,510
Receive status update from clearing agent,128856,Austria,640.3836122,11/3/2016 14:27,Other,Natalie Bowen,511
Receive status update from clearing agent,128903,Austria,727.1603137,25-3-2016 15:08:02,Other,Tatyana Howe,512
Receive status update from clearing agent,129285,France,162.6473504,21-3-2016 15:50:15,Administration,Aaron Downs,513
Close outstanding settlement instructions and contractual journal,129626,UK,320.9387734,23-3-2016 18:37:14,Finance,Medge Patel,514
Close outstanding settlement instructions and contractual journal,129622,UK,551.705097,29-3-2016 11:21:13,Finance,Medge Patel,515
Close outstanding settlement instructions and contractual journal,130377,UK,946.5809564,5/4/2016 12:42,Finance,Medge Patel,516
Close outstanding settlement instructions and contractual journal,130378,UK,898.5951809,5/4/2016 12:42,Finance,Medge Patel,517
Close outstanding settlement instructions and contractual journal,130379,UK,517.4013111,5/4/2016 8:45,Finance,Medge Patel,518
Close outstanding settlement instructions and contractual journal,130380,UK,930.9279799,6/4/2016 9:33,Finance,Medge Patel,519
Close outstanding settlement instructions and contractual journal,130381,UK,716.3676342,5/4/2016 9:19,Finance,Medge Patel,520
Close outstanding settlement instructions and contractual journal,130492,UK,814.5673058,14-4-2016 15:18:33,Finance,Medge Patel,521
Close outstanding settlement instructions and contractual journal,130493,UK,676.43118,8/4/2016 12:52,Finance,Medge Patel,522
